Item,Designator,LCSC #ID,Quantity,LCSC Price,Limitations,Total,Datasheet
1uF Capacitor,"C1,C2,C3,C5,C6,C7,C9,C11,C12",C15849,9,$0.0109 ,Min. Order Quantity is 50,$0.55 ,https://item.szlcsc.com/datasheet/CL10A105KB8NNNC/16531.html
5.1k?  Resistor,"R1,R2",C23186,2,$0.0016 ,Min. Order Quantity is 100,$0.16 ,https://item.szlcsc.com/datasheet/0603WAF5101T5E/23913.html
10.0 QHHTZB6.3 USB-A Ports,"USB2,USB5",C668591,2,$0.0632 ,Min. Order Quantity is 10,$0.63 ,https://item.szlcsc.com/datasheet/10.0%2520QHHTZB6.3/698534.html
12MHz Passive Oscilating Crystal,X1,C6071564,1,$0.0709 ,Min. Order Quantity is 10,$0.71 ,https://item.szlcsc.com/datasheet/3225%252012M%252018PF%252020PPM/7011309.html
27pF Capacitors,"C13,C14",C1656,2,$0.0060 ,Min. Order Quantity is 100,$0.60 ,https://item.szlcsc.com/datasheet/CL10C270JB8NNNC/2008.html
56k? Downstream  Resistors,"R3,R4,R5,R6",C23206,4,$0.0016 ,Min. Order Quantity is 100,$0.16 ,https://item.szlcsc.com/datasheet/0603WAF5602T5E/23933.html
100uF Capacitors,"C8,C10",C108856,2,$0.0821 ,Min. Order Quantity is 10,$0.82 ,https://www.lcsc.com/datasheet/C108856.pdf
SL2.1s MCU ,U1,C2684433,1,$0.2849 ,Min. Order Quantity is 10,$2.85 ,https://item.szlcsc.com/datasheet/SL2.1s/2782346.html
TYPE-C 16PIN 2MD(073)       USB-C Ports,"USB1,USB3,USB4",C2765186,3,$0.0705 ,Min. Order Quantity is 20,$1.41 ,https://item.szlcsc.com/datasheet/TYPE-C%252016PIN%25202MD(073)/2901843.html
USBLC6-2SC6 ESD Protection TVS Diodes,"D1,D2,D4,D6,D7",C2827654,5,$0.0410 ,Min. Order Quantity is 10,$0.41 ,https://item.szlcsc.com/datasheet/USBLC6-2SC6/2973336.html
PCB,- - - - - - - - - - - - - - - - - - - - - - - - -,- - - - - - - -,-----,------,Min. Order Quantity is 5,$4.00 ,- - - - - - - - - - - - - - - - - - - - - - - - -
Shipping,- - - - - - - - - - - - - - - - - - - - - - - - -,- - - - - - - -,-----,------,I live outside the EU so its expensive,$26.00 ,- - - - - - - - - - - - - - - - - - - - - - - - -
Total,,,,,,$38.30 ,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
